sno,SrNo,vno,Ayah,words,en,wc,Place
5,782,114,قال عيسى ابن مريم اللهم ربنا أنزل علينا مائدة من السماء تكون لنا عيدا لأولنا وآخرنا وآية منك وارزقنا وأنت خير الرازقين,22,"Said Jesus the son of Mary: ""O Allah our Lord! Send us from heaven a table set (with viands), that there may be for us - for the first and the last of us - a solemn festival and a sign from thee; and provide for our sustenance, for thou art the best Sustainer (of our needs).""",22,Medinan
5,783,115,قال الله إني منزلها عليكم فمن يكفر بعد منكم فإني أعذبه عذابا لا أعذبه أحدا من العالمين,17,"Allah said: ""I will send it down unto you: But if any of you after that resisteth faith, I will punish him with a penalty such as I have not inflicted on any one among all the peoples.""",17,Medinan
5,784,116,وإذ قال الله يا عيسى ابن مريم أأنت قلت للناس اتخذوني وأمي إلهين من دون الله قال سبحانك ما يكون لي أن أقول ما ليس لي بحق إن كنت قلته فقد علمته تعلم ما في نفسي ولا أعلم ما في نفسك إنك أنت علام الغيوب,45,"And behold! Allah will say: ""O Jesus the son of Mary! Didst thou say unto men, worship me and my mother as gods in derogation of Allah'?"" He will say: ""Glory to Thee! never could I say what I had no right (to say). Had I said such a thing, thou wouldst indeed have known it. Thou knowest what is in my heart, Thou I know not what is in Thine. For Thou knowest in full all that is hidden.",45,Medinan
5,785,117,ما قلت لهم إلا ما أمرتني به أن اعبدوا الله ربي وربكم وكنت عليهم شهيدا ما دمت فيهم فلما توفيتني كنت أنت الرقيب عليهم وأنت على كل شيء شهيد,29,"""Never said I to them aught except what Thou didst command me to say, to wit, 'worship Allah, my Lord and your Lord'; and I was a witness over them whilst I dwelt amongst them; when Thou didst take me up Thou wast the Watcher over them, and Thou art a witness to all things.",29,Medinan
5,786,118,إن تعذبهم فإنهم عبادك وإن تغفر لهم فإنك أنت العزيز الحكيم,11,"""If Thou dost punish them, they are Thy servant: If Thou dost forgive them, Thou art the Exalted in power, the Wise.""",11,Medinan
5,787,119,قال الله هذا يوم ينفع الصادقين صدقهم لهم جنات تجري من تحتها الأنهار خالدين فيها أبدا رضي الله عنهم ورضوا عنه ذلك الفوز العظيم,24,"Allah will say: ""This is a day on which the truthful will profit from their truth: theirs are gardens, with rivers flowing beneath,- their eternal Home: Allah well-pleased with them, and they with Allah: That is the great salvation, (the fulfilment of all desires).",24,Medinan
5,788,120,لله ملك السماوات والأرض وما فيهن وهو على كل شيء قدير,11,"To Allah doth belong the dominion of the heavens and the earth, and all that is therein, and it is He Who hath power over all things.",11,Medinan
6,789,1,بسم الله الرحمن الرحيم الحمد لله الذي خلق السماوات والأرض وجعل الظلمات والنور ثم الذين كفروا بربهم يعدلون,18,"Praise be Allah, Who created the heavens and the earth, and made the darkness and the light. Yet those who reject Faith hold (others) as equal, with their Guardian-Lord.",14,Meccan
6,790,2,هو الذي خلقكم من طين ثم قضى أجلا وأجل مسمى عنده ثم أنتم تمترون,14,"He it is created you from clay, and then decreed a stated term (for you). And there is in His presence another determined term; yet ye doubt within yourselves!",14,Meccan
6,791,3,وهو الله في السماوات وفي الأرض يعلم سركم وجهركم ويعلم ما تكسبون,12,"And He is Allah in the heavens and on earth. He knoweth what ye hide, and what ye reveal, and He knoweth the (recompense) which ye earn (by your deeds).",12,Meccan
6,792,4,وما تأتيهم من آية من آيات ربهم إلا كانوا عنها معرضين,11,"But never did a single one of the signs of their Lord reach them, but they turned away therefrom.",11,Meccan
6,793,5,فقد كذبوا بالحق لما جاءهم فسوف يأتيهم أنباء ما كانوا به يستهزئون,12,And now they reject the truth when it reaches them: but soon shall they learn the reality of what they used to mock at.,12,Meccan
6,794,6,ألم يروا كم أهلكنا من قبلهم من قرن مكناهم في الأرض ما لم نمكن لكم وأرسلنا السماء عليهم مدرارا وجعلنا الأنهار تجري من تحتهم فأهلكناهم بذنوبهم وأنشأنا من بعدهم قرنا آخرين,31,"See they not how many of those before them We did destroy?- generations We had established on the earth, in strength such as We have not given to you - for whom We poured out rain from the skies in abundance, and gave (fertile) streams flowing beneath their (feet): yet for their sins We destroyed them, and raised in their wake fresh generations (to succeed them).",31,Meccan
6,795,7,ولو نزلنا عليك كتابا في قرطاس فلمسوه بأيديهم لقال الذين كفروا إن هذا إلا سحر مبين,16,"If We had sent unto thee a written (message) on parchment, so that they could touch it with their hands, the Unbelievers would have been sure to say: ""This is nothing but obvious magic!""",16,Meccan
6,796,8,وقالوا لولا أنزل عليه ملك ولو أنزلنا ملكا لقضي الأمر ثم لا ينظرون,13,"They say: ""Why is not an angel sent down to him?"" If we did send down an angel, the matter would be settled at once, and no respite would be granted them.",13,Meccan
6,797,9,ولو جعلناه ملكا لجعلناه رجلا وللبسنا عليهم ما يلبسون,9,"If We had made it an angel, We should have sent him as a man, and We should certainly have caused them confusion in a matter which they have already covered with confusion.",9,Meccan
6,798,10,ولقد استهزئ برسل من قبلك فحاق بالذين سخروا منهم ما كانوا به يستهزئون,13,Mocked were (many) messengers before thee; but their scoffers were hemmed in by the thing that they mocked.,13,Meccan
6,799,11,قل سيروا في الأرض ثم انظروا كيف كان عاقبة المكذبين,10,"Say: ""Travel through the earth and see what was the end of those who rejected Truth.""",10,Meccan
6,800,12,قل لمن ما في السماوات والأرض قل لله كتب على نفسه الرحمة ليجمعنكم إلى يوم القيامة لا ريب فيه الذين خسروا أنفسهم فهم لا يؤمنون,25,"Say: ""To whom belongeth all that is in the heavens and on earth?"" Say: ""To Allah. He hath inscribed for Himself (the rule of) Mercy. That He will gather you together for the Day of Judgment, there is no doubt whatever. It is they who have lost their own souls, that will not believe.",25,Meccan
6,801,13,وله ما سكن في الليل والنهار وهو السميع العليم,9,"To him belongeth all that dwelleth (or lurketh) in the night and the day. For he is the one who heareth and knoweth all things.""",9,Meccan
6,802,14,قل أغير الله أتخذ وليا فاطر السماوات والأرض وهو يطعم ولا يطعم قل إني أمرت أن أكون أول من أسلم ولا تكونن من المشركين,24,"Say: ""Shall I take for my protector any other than Allah, the Maker of the heavens and the earth? And He it is that feedeth but is not fed."" Say: ""Nay! but I am commanded to be the first of those who bow to Allah (in Islam), and be not thou of the company of those who join gods with Allah.""",24,Meccan
6,803,15,قل إني أخاف إن عصيت ربي عذاب يوم عظيم,9,"Say: ""I would, if I disobeyed my Lord, indeed have fear of the penalty of a Mighty Day.",9,Meccan
6,804,16,من يصرف عنه يومئذ فقد رحمه وذلك الفوز المبين,9,"""On that day, if the penalty is averted from any, it is due to Allah's mercy; And that would be (Salvation), the obvious fulfilment of all desire.",9,Meccan
6,805,17,وإن يمسسك الله بضر فلا كاشف له إلا هو وإن يمسسك بخير فهو على كل شيء قدير,17,"""If Allah touch thee with affliction, none can remove it but He; if He touch thee with happiness, He hath power over all things.",17,Meccan
6,806,18,وهو القاهر فوق عباده وهو الحكيم الخبير,7,"""He is the irresistible, (watching) from above over His worshippers; and He is the Wise, acquainted with all things.""",7,Meccan
6,807,19,قل أي شيء أكبر شهادة قل الله شهيد بيني وبينكم وأوحي إلي هذا القرآن لأنذركم به ومن بلغ أئنكم لتشهدون أن مع الله آلهة أخرى قل لا أشهد قل إنما هو إله واحد وإنني بريء مما تشركون,37,"Say: ""What thing is most weighty in evidence?"" Say: ""Allah is witness between me and you; This Qur'an hath been revealed to me by inspiration, that I may warn you and all whom it reaches. Can ye possibly bear witness that besides Allah there is another Allah?"" Say: ""Nay! I cannot bear witness!"" Say: ""But in truth He is the one Allah, and I truly am innocent of (your blasphemy of) joining others with Him.""",37,Meccan
6,808,20,الذين آتيناهم الكتاب يعرفونه كما يعرفون أبناءهم الذين خسروا أنفسهم فهم لا يؤمنون,13,Those to whom We have given the Book know this as they know their own sons. Those who have lost their own souls refuse therefore to believe.,13,Meccan
6,809,21,ومن أظلم ممن افترى على الله كذبا أو كذب بآياته إنه لا يفلح الظالمون,14,Who doth more wrong than he who inventeth a lie against Allah or rejecteth His signs? But verily the wrong-doers never shall prosper.,14,Meccan
6,810,22,ويوم نحشرهم جميعا ثم نقول للذين أشركوا أين شركاؤكم الذين كنتم تزعمون,12,"One day shall We gather them all together: We shall say to those who ascribed partners (to Us): ""Where are the partners whom ye (invented and) talked about?""",12,Meccan
6,811,23,ثم لم تكن فتنتهم إلا أن قالوا والله ربنا ما كنا مشركين,12,"There will then be (left) no subterfuge for them but to say: ""By Allah our Lord, we were not those who joined gods with Allah.""",12,Meccan
6,812,24,انظر كيف كذبوا على أنفسهم وضل عنهم ما كانوا يفترون,10,Behold! how they lie against their own souls! But the (lie) which they invented will leave them in the lurch.,10,Meccan
6,813,25,ومنهم من يستمع إليك وجعلنا على قلوبهم أكنة أن يفقهوه وفي آذانهم وقرا وإن يروا كل آية لا يؤمنوا بها حتى إذا جاءوك يجادلونك يقول الذين كفروا إن هذا إلا أساطير الأولين,32,"Of them there are some who (pretend to) listen to thee; but We have thrown veils on their hearts, So they understand it not, and deafness in their ears; if they saw every one of the signs, not they will believe in them; in so much that when they come to thee, they (but) dispute with thee; the Unbelievers say: ""These are nothing but tales of the ancients.""",32,Meccan
6,814,26,وهم ينهون عنه وينأون عنه وإن يهلكون إلا أنفسهم وما يشعرون,11,"Others they keep away from it, and themselves they keep away; but they only destroy their own souls, and they perceive it not.",11,Meccan
6,815,27,ولو ترى إذ وقفوا على النار فقالوا يا ليتنا نرد ولا نكذب بآيات ربنا ونكون من المؤمنين,17,"If thou couldst but see when they are confronted with the Fire! They will say: ""Would that we were but sent back! Then would we not reject the signs of our Lord, but would be amongst those who believe!""",17,Meccan
6,816,28,بل بدا لهم ما كانوا يخفون من قبل ولو ردوا لعادوا لما نهوا عنه وإنهم لكاذبون,16,"Yea, in their own (eyes) will become manifest what before they concealed. But if they were returned, they would certainly relapse to the things they were forbidden, for they are indeed liars.",16,Meccan
6,817,29,وقالوا إن هي إلا حياتنا الدنيا وما نحن بمبعوثين,9,"And they (sometimes) say: ""There is nothing except our life on this earth, and never shall we be raised up again.""",9,Meccan
6,818,30,ولو ترى إذ وقفوا على ربهم قال أليس هذا بالحق قالوا بلى وربنا قال فذوقوا العذاب بما كنتم تكفرون,19,"If thou couldst but see when they are confronted with their Lord! He will say: ""Is not this the truth?"" They will say: ""Yea, by our Lord!"" He will say: ""Taste ye then the penalty, because ye rejected Faith.""",19,Meccan
6,819,31,قد خسر الذين كذبوا بلقاء الله حتى إذا جاءتهم الساعة بغتة قالوا يا حسرتنا على ما فرطنا فيها وهم يحملون أوزارهم على ظهورهم ألا ساء ما يزرون,27,"Lost indeed are they who treat it as a falsehood that they must meet Allah,- until on a sudden the hour is on them, and they say: ""Ah! woe unto us that we took no thought of it""; for they bear their burdens on their backs, and evil indeed are the burdens that they bear?",27,Meccan
6,820,32,وما الحياة الدنيا إلا لعب ولهو وللدار الآخرة خير للذين يتقون أفلا تعقلون,13,"What is the life of this world but play and amusement? But best is the home in the hereafter, for those who are righteous. Will ye not then understand?",13,Meccan
6,821,33,قد نعلم إنه ليحزنك الذي يقولون فإنهم لا يكذبونك ولكن الظالمين بآيات الله يجحدون,14,"We know indeed the grief which their words do cause thee: It is not thee they reject: it is the signs of Allah, which the wicked contemn.",14,Meccan
6,822,34,ولقد كذبت رسل من قبلك فصبروا على ما كذبوا وأوذوا حتى أتاهم نصرنا ولا مبدل لكلمات الله ولقد جاءك من نبإ المرسلين,22,"Rejected were the messengers before thee: with patience and constancy they bore their rejection and their wrongs, until Our aid did reach them: there is none that can alter the words (and decrees) of Allah. Already hast thou received some account of those messengers.",22,Meccan
6,823,35,وإن كان كبر عليك إعراضهم فإن استطعت أن تبتغي نفقا في الأرض أو سلما في السماء فتأتيهم بآية ولو شاء الله لجمعهم على الهدى فلا تكونن من الجاهلين,28,"If their spurning is hard on thy mind, yet if thou wert able to seek a tunnel in the ground or a ladder to the skies and bring them a sign,- (what good?). If it were Allah's will, He could gather them together unto true guidance: so be not thou amongst those who are swayed by ignorance (and impatience)!",28,Meccan
6,824,36,إنما يستجيب الذين يسمعون والموتى يبعثهم الله ثم إليه يرجعون,10,"Those who listen (in truth), be sure, will accept: as to the dead, Allah will raise them up; then will they be turned unto Him.",10,Meccan
6,825,37,وقالوا لولا نزل عليه آية من ربه قل إن الله قادر على أن ينزل آية ولكن أكثرهم لا يعلمون,19,"They say: ""Why is not a sign sent down to him from his Lord?"" Say: ""Allah hath certainly power to send down a sign: but most of them understand not.",19,Meccan
6,826,38,وما من دابة في الأرض ولا طائر يطير بجناحيه إلا أمم أمثالكم ما فرطنا في الكتاب من شيء ثم إلى ربهم يحشرون,22,"There is not an animal (that lives) on the earth, nor a being that flies on its wings, but (forms part of) communities like you. Nothing have we omitted from the Book, and they (all) shall be gathered to their Lord in the end.",22,Meccan
6,827,39,والذين كذبوا بآياتنا صم وبكم في الظلمات من يشإ الله يضلله ومن يشأ يجعله على صراط مستقيم,17,"Those who reject our signs are deaf and dumb,- in the midst of darkness profound: whom Allah willeth, He leaveth to wander: whom He willeth, He placeth on the way that is straight.",17,Meccan
6,828,40,قل أرأيتكم إن أتاكم عذاب الله أو أتتكم الساعة أغير الله تدعون إن كنتم صادقين,15,"Say: ""Think ye to yourselves, if there come upon you the wrath of Allah, or the Hour (that ye dread), would ye then call upon other than Allah?- (reply) if ye are truthful!",15,Meccan
6,829,41,بل إياه تدعون فيكشف ما تدعون إليه إن شاء وتنسون ما تشركون,12,"""Nay,- On Him would ye call, and if it be His will, He would remove (the distress) which occasioned your call upon Him, and ye would forget (the false gods) which ye join with Him!""",12,Meccan
6,830,42,ولقد أرسلنا إلى أمم من قبلك فأخذناهم بالبأساء والضراء لعلهم يتضرعون,11,"Before thee We sent (messengers) to many nations, and We afflicted the nations with suffering and adversity, that they might learn humility.",11,Meccan
6,831,43,فلولا إذ جاءهم بأسنا تضرعوا ولكن قست قلوبهم وزين لهم الشيطان ما كانوا يعملون,14,"When the suffering reached them from us, why then did they not learn humility? On the contrary their hearts became hardened, and Satan made their (sinful) acts seem alluring to them.",14,Meccan
6,832,44,فلما نسوا ما ذكروا به فتحنا عليهم أبواب كل شيء حتى إذا فرحوا بما أوتوا أخذناهم بغتة فإذا هم مبلسون,20,"But when they forgot the warning they had received, We opened to them the gates of all (good) things, until, in the midst of their enjoyment of Our gifts, on a sudden, We called them to account, when lo! they were plunged in despair!",20,Meccan
6,833,45,فقطع دابر القوم الذين ظلموا والحمد لله رب العالمين,9,"Of the wrong-doers the last remnant was cut off. Praise be to Allah, the Cherisher of the worlds.",9,Meccan
6,834,46,قل أرأيتم إن أخذ الله سمعكم وأبصاركم وختم على قلوبكم من إله غير الله يأتيكم به انظر كيف نصرف الآيات ثم هم يصدفون,23,"Say: ""Think ye, if Allah took away your hearing and your sight, and sealed up your hearts, who - a god other than Allah - could restore them to you?"" See how We explain the signs by various (symbols); yet they turn aside.",23,Meccan
6,835,47,قل أرأيتكم إن أتاكم عذاب الله بغتة أو جهرة هل يهلك إلا القوم الظالمون,14,"Say: ""Think ye, if the punishment of Allah comes to you, whether suddenly or openly, will any be destroyed except those who do wrong?",14,Meccan
6,836,48,وما نرسل المرسلين إلا مبشرين ومنذرين فمن آمن وأصلح فلا خوف عليهم ولا هم يحزنون,15,"We send the messengers only to give good news and to warn: so those who believe and mend (their lives),- upon them shall be no fear, nor shall they grieve.",15,Meccan
6,837,49,والذين كذبوا بآياتنا يمسهم العذاب بما كانوا يفسقون,8,"But those who reject our signs,- them shall punishment touch, for that they ceased not from transgressing.",8,Meccan
6,838,50,قل لا أقول لكم عندي خزائن الله ولا أعلم الغيب ولا أقول لكم إني ملك إن أتبع إلا ما يوحى إلي قل هل يستوي الأعمى والبصير أفلا تتفكرون,28,"Say: ""I tell you not that with me are the treasures of Allah, nor do I know what is hidden, nor do I tell you I am an angel. I but follow what is revealed to me."" Say: ""can the blind be held equal to the seeing?"" Will ye then consider not?",28,Meccan
6,839,51,وأنذر به الذين يخافون أن يحشروا إلى ربهم ليس لهم من دونه ولي ولا شفيع لعلهم يتقون,17,Give this warning to those in whose (hearts) is the fear that they will be brought (to judgment) before their Lord: except for Him they will have no protector nor intercessor: that they may guard (against evil).,17,Meccan
6,840,52,ولا تطرد الذين يدعون ربهم بالغداة والعشي يريدون وجهه ما عليك من حسابهم من شيء وما من حسابك عليهم من شيء فتطردهم فتكون من الظالمين,25,"Send not away those who call on their Lord morning and evening, seeking His face. In naught art thou accountable for them, and in naught are they accountable for thee, that thou shouldst turn them away, and thus be (one) of the unjust.",25,Meccan
6,841,53,وكذلك فتنا بعضهم ببعض ليقولوا أهؤلاء من الله عليهم من بيننا أليس الله بأعلم بالشاكرين,15,"Thus did We try some of them by comparison with others, that they should say: ""Is it these then that Allah hath favoured from amongst us?"" Doth not Allah know best those who are grateful?",15,Meccan
6,842,54,وإذا جاءك الذين يؤمنون بآياتنا فقل سلام عليكم كتب ربكم على نفسه الرحمة أنه من عمل منكم سوءا بجهالة ثم تاب من بعده وأصلح فأنه غفور رحيم,27,"When those come to thee who believe in Our signs, Say: ""Peace be on you: Your Lord hath inscribed for Himself (the rule of) mercy: verily, if any of you did evil in ignorance, and thereafter repented, and amend (his conduct), lo! He is Oft-forgiving, Most Merciful.",27,Meccan
6,843,55,وكذلك نفصل الآيات ولتستبين سبيل المجرمين,6,Thus do We explain the signs in detail: that the way of the sinners may be shown up.,6,Meccan
6,844,56,قل إني نهيت أن أعبد الذين تدعون من دون الله قل لا أتبع أهواءكم قد ضللت إذا وما أنا من المهتدين,21,"Say: ""I am forbidden to worship those - others than Allah - whom ye call upon."" Say: ""I will not follow your wain desires: If I did, I would stray from the path, and be not of the company of those who receive guidance.""",21,Meccan
6,845,57,قل إني على بينة من ربي وكذبتم به ما عندي ما تستعجلون به إن الحكم إلا لله يقص الحق وهو خير الفاصلين,22,"Say: ""For me, I (work) on a clear sign from my Lord, but ye reject Him. What ye would see hastened, is not in my power. The command rests with none but Allah: He declares the truth, and He is the best of judges.""",22,Meccan
6,846,58,قل لو أن عندي ما تستعجلون به لقضي الأمر بيني وبينكم والله أعلم بالظالمين,14,"Say: ""If what ye would see hastened were in my power, the matter would be settled at once between you and me. But Allah knoweth best those who do wrong.""",14,Meccan
6,847,59,وعنده مفاتح الغيب لا يعلمها إلا هو ويعلم ما في البر والبحر وما تسقط من ورقة إلا يعلمها ولا حبة في ظلمات الأرض ولا رطب ولا يابس إلا في كتاب مبين,31,"With Him are the keys of the unseen, the treasures that none knoweth but He. He knoweth whatever there is on the earth and in the sea. Not a leaf doth fall but with His knowledge: there is not a grain in the darkness (or depths) of the earth, nor anything fresh or dry (green or withered), but is (inscribed) in a record clear (to those who can read).",31,Meccan
6,848,60,وهو الذي يتوفاكم بالليل ويعلم ما جرحتم بالنهار ثم يبعثكم فيه ليقضى أجل مسمى ثم إليه مرجعكم ثم ينبئكم بما كنتم تعملون,22,"It is He who doth take your souls by night, and hath knowledge of all that ye have done by day: by day doth He raise you up again; that a term appointed be fulfilled; In the end unto Him will be your return; then will He show you the truth of all that ye did.",22,Meccan
6,849,61,وهو القاهر فوق عباده ويرسل عليكم حفظة حتى إذا جاء أحدكم الموت توفته رسلنا وهم لا يفرطون,17,"He is the irresistible, (watching) from above over His worshippers, and He sets guardians over you. At length, when death approaches one of you, Our angels take his soul, and they never fail in their duty.",17,Meccan
6,850,62,ثم ردوا إلى الله مولاهم الحق ألا له الحكم وهو أسرع الحاسبين,12,"Then are men returned unto Allah, their protector, the (only) reality: Is not His the command? and He is the swiftest in taking account.",12,Meccan
6,851,63,قل من ينجيكم من ظلمات البر والبحر تدعونه تضرعا وخفية لئن أنجانا من هذه لنكونن من الشاكرين,17,"Say: ""Who is it that delivereth you from the dark recesses of land and sea, when ye call upon Him in humility and silent terror: 'If He only delivers us from these (dangers), (we vow) we shall truly show our gratitude'?""",17,Meccan
6,852,64,قل الله ينجيكم منها ومن كل كرب ثم أنتم تشركون,10,"Say ""It is Allah that delivereth you from these and all (other) distresses: and yet ye worship false gods!""",10,Meccan
6,853,65,قل هو القادر على أن يبعث عليكم عذابا من فوقكم أو من تحت أرجلكم أو يلبسكم شيعا ويذيق بعضكم بأس بعض انظر كيف نصرف الآيات لعلهم يفقهون,27,"Say: ""He hath power to send calamities on you, from above and below, or to cover you with confusion in party strife, giving you a taste of mutual vengeance - each from the other."" See how We explain the signs by various (symbols); that they may understand.",27,Meccan
6,854,66,وكذب به قومك وهو الحق قل لست عليكم بوكيل,9,"But thy people reject this, though it is the truth. Say: ""Not mine is the responsibility for arranging your affairs;",9,Meccan
6,855,67,لكل نبإ مستقر وسوف تعلمون,5,"For every message is a limit of time, and soon shall ye know it.""",5,Meccan
6,856,68,وإذا رأيت الذين يخوضون في آياتنا فأعرض عنهم حتى يخوضوا في حديث غيره وإما ينسينك الشيطان فلا تقعد بعد الذكرى مع القوم الظالمين,23,"When thou seest men engaged in vain discourse about Our signs, turn away from them unless they turn to a different theme. If Satan ever makes thee forget, then after recollection, sit not thou in the company of those who do wrong.",23,Meccan
6,857,69,وما على الذين يتقون من حسابهم من شيء ولكن ذكرى لعلهم يتقون,12,"On their account no responsibility falls on the righteous, but (their duty) is to remind them, that they may (learn to) fear Allah.",12,Meccan
6,858,70,وذر الذين اتخذوا دينهم لعبا ولهوا وغرتهم الحياة الدنيا وذكر به أن تبسل نفس بما كسبت ليس لها من دون الله ولي ولا شفيع وإن تعدل كل عدل لا يؤخذ منها أولئك الذين أبسلوا بما كسبوا لهم شراب من حميم وعذاب أليم بما كانوا يكفرون,45,"Leave alone those who take their religion to be mere play and amusement, and are deceived by the life of this world. But proclaim (to them) this (truth): that every soul delivers itself to ruin by its own acts: it will find for itself no protector or intercessor except Allah: if it offered every ransom, (or reparation), none will be accepted: such is (the end of) those who deliver themselves to ruin by their own acts: they will have for drink (only) boiling water, and for punishment, one most grievous: for they persisted in rejecting Allah.",45,Meccan
6,859,71,قل أندعو من دون الله ما لا ينفعنا ولا يضرنا ونرد على أعقابنا بعد إذ هدانا الله كالذي استهوته الشياطين في الأرض حيران له أصحاب يدعونه إلى الهدى ائتنا قل إن هدى الله هو الهدى وأمرنا لنسلم لرب العالمين,39,"Say: ""Shall we indeed call on others besides Allah,- things that can do us neither good nor harm,- and turn on our heels after receiving guidance from Allah? - like one whom the evil ones have made into a fool, wandering bewildered through the earth, his friends calling, come to us', (vainly) guiding him to the path."" Say: ""Allah's guidance is the (only) guidance, and we have been directed to submit ourselves to the Lord of the worlds;-",39,Meccan
6,860,72,وأن أقيموا الصلاة واتقوه وهو الذي إليه تحشرون,8,"""To establish regular prayers and to fear Allah: for it is to Him that we shall be gathered together.""",8,Meccan
6,861,73,وهو الذي خلق السماوات والأرض بالحق ويوم يقول كن فيكون قوله الحق وله الملك يوم ينفخ في الصور عالم الغيب والشهادة وهو الحكيم الخبير,24,"It is He who created the heavens and the earth in true (proportions): the day He saith, ""Be,"" behold! it is. His word is the truth. His will be the dominion the day the trumpet will be blown. He knoweth the unseen as well as that which is open. For He is the Wise, well acquainted (with all things).",24,Meccan
6,862,74,وإذ قال إبراهيم لأبيه آزر أتتخذ أصناما آلهة إني أراك وقومك في ضلال مبين,14,"Lo! Abraham said to his father Azar: ""Takest thou idols for gods? For I see thee and thy people in manifest error.""",14,Meccan
6,863,75,وكذلك نري إبراهيم ملكوت السماوات والأرض وليكون من الموقنين,9,"So also did We show Abraham the power and the laws of the heavens and the earth, that he might (with understanding) have certitude.",9,Meccan
6,864,76,فلما جن عليه الليل رأى كوكبا قال هذا ربي فلما أفل قال لا أحب الآفلين,15,"When the night covered him over, He saw a star: He said: ""This is my Lord."" But when it set, He said: ""I love not those that set.""",15,Meccan
6,865,77,فلما رأى القمر بازغا قال هذا ربي فلما أفل قال لئن لم يهدني ربي لأكونن من القوم الضالين,18,"When he saw the moon rising in splendour, he said: ""This is my Lord."" But when the moon set, He said: ""unless my Lord guide me, I shall surely be among those who go astray.""",18,Meccan
6,866,78,فلما رأى الشمس بازغة قال هذا ربي هذا أكبر فلما أفلت قال يا قوم إني بريء مما تشركون,18,"When he saw the sun rising in splendour, he said: ""This is my Lord; this is the greatest (of all)."" But when the sun set, he said: ""O my people! I am indeed free from your (guilt) of giving partners to Allah.",18,Meccan
6,867,79,إني وجهت وجهي للذي فطر السماوات والأرض حنيفا وما أنا من المشركين,12,"""For me, I have set my face, firmly and truly, towards Him Who created the heavens and the earth, and never shall I give partners to Allah.""",12,Meccan
6,868,80,وحاجه قومه قال أتحاجوني في الله وقد هدان ولا أخاف ما تشركون به إلا أن يشاء ربي شيئا وسع ربي كل شيء علما أفلا تتذكرون,25,"His people disputed with him. He said: ""(Come) ye to dispute with me, about Allah, when He (Himself) hath guided me? I fear not (the beings) ye associate with Allah: Unless my Lord willeth, (nothing can happen). My Lord comprehendeth in His knowledge all things. Will ye not (yourselves) be admonished?",25,Meccan
6,869,81,وكيف أخاف ما أشركتم ولا تخافون أنكم أشركتم بالله ما لم ينزل به عليكم سلطانا فأي الفريقين أحق بالأمن إن كنتم تعلمون,22,"""How should I fear (the beings) ye associate with Allah, when ye fear not to give partners to Allah without any warrant having been given to you? Which of (us) two parties hath more right to security? (tell me) if ye know.",22,Meccan
6,870,82,الذين آمنوا ولم يلبسوا إيمانهم بظلم أولئك لهم الأمن وهم مهتدون,11,"""It is those who believe and confuse not their beliefs with wrong - that are (truly) in security, for they are on (right) guidance.""",11,Meccan
6,871,83,وتلك حجتنا آتيناها إبراهيم على قومه نرفع درجات من نشاء إن ربك حكيم عليم,14,"That was the reasoning about Us, which We gave to Abraham (to use) against his people: We raise whom We will, degree after degree: for thy Lord is full of wisdom and knowledge.",14,Meccan
6,872,84,ووهبنا له إسحاق ويعقوب كلا هدينا ونوحا هدينا من قبل ومن ذريته داوود وسليمان وأيوب ويوسف وموسى وهارون وكذلك نجزي المحسنين,21,"We gave him Isaac and Jacob: all (three) guided: and before him, We guided Noah, and among his progeny, David, Solomon, Job, Joseph, Moses, and Aaron: thus do We reward those who do good:",21,Meccan
6,873,85,وزكريا ويحيى وعيسى وإلياس كل من الصالحين,7,"And Zakariya and John, and Jesus and Elias: all in the ranks of the righteous:",7,Meccan
6,874,86,وإسماعيل واليسع ويونس ولوطا وكلا فضلنا على العالمين,8,"And Isma'il and Elisha, and Jonas, and Lot: and to all We gave favour above the nations:",8,Meccan
6,875,87,ومن آبائهم وذرياتهم وإخوانهم واجتبيناهم وهديناهم إلى صراط مستقيم,9,"(To them) and to their fathers, and progeny and brethren: We chose them, and we guided them to a straight way.",9,Meccan
6,876,88,ذلك هدى الله يهدي به من يشاء من عباده ولو أشركوا لحبط عنهم ما كانوا يعملون,16,"This is the guidance of Allah: He giveth that guidance to whom He pleaseth, of His worshippers. If they were to join other gods with Him, all that they did would be vain for them.",16,Meccan
6,877,89,أولئك الذين آتيناهم الكتاب والحكم والنبوة فإن يكفر بها هؤلاء فقد وكلنا بها قوما ليسوا بها بكافرين,17,"These were the men to whom We gave the Book, and authority, and prophethood: if these (their descendants) reject them, Behold! We shall entrust their charge to a new people who reject them not.",17,Meccan
6,878,90,أولئك الذين هدى الله فبهداهم اقتده قل لا أسألكم عليه أجرا إن هو إلا ذكرى للعالمين,16,"Those were the (prophets) who received Allah's guidance: Copy the guidance they received; Say: ""No reward for this do I ask of you: This is no less than a message for the nations.""",16,Meccan
